window_id,anchor_day,field_a,field_b,marker_family,marker_name,marker_column,median_delta_B_minus_A,q05_delta,q95_delta,q025_delta,q975_delta,prob_A_earlier_or_smaller,prob_B_earlier_or_smaller,prob_same_day_or_equal,pass90_A_leads_or_smaller,pass95_A_leads_or_smaller,pass90_B_leads_or_smaller,pass95_B_leads_or_smaller,minimum_equivalence_margin_90,minimum_equivalence_margin_95,marker_relation_label,marker_relation_interpretation
W002,45,P,V,departure,departure90,departure90_day,0.0,-2.0,3.0,-3.0,4.0,0.155,0.171,0.674,False,False,False,False,3.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,departure,departure90,departure90_day,0.0,-3.0,0.0,-3.0,0.0,0.005,0.256,0.739,False,False,False,False,3.0,3.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,departure,departure90,departure90_day,4.0,1.0,7.0,0.0,8.0,0.952,0.011,0.037,True,False,False,False,7.0,8.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,departure,departure90,departure90_day,0.0,-3.0,1.0,-3.0,1.0,0.054,0.243,0.703,False,False,False,False,3.0,3.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,departure,departure90,departure90_day,0.0,-4.0,0.0,-4.0,0.0,0.005,0.222,0.773,False,False,False,False,4.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,departure,departure90,departure90_day,4.0,0.0,7.0,0.0,8.0,0.943,0.022,0.035,False,False,False,False,7.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,departure,departure90,departure90_day,0.0,-4.0,1.0,-4.0,1.0,0.071,0.216,0.713,False,False,False,False,4.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,departure,departure90,departure90_day,4.0,2.0,8.0,1.0,8.0,0.984,0.002,0.014,True,True,False,False,8.0,8.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,departure,departure90,departure90_day,0.0,0.0,1.0,0.0,1.0,0.078,0.004,0.918,False,False,False,False,1.0,1.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,departure,departure90,departure90_day,-4.0,-8.0,-1.0,-8.0,0.0,0.018,0.966,0.016,False,False,True,False,8.0,8.0,B_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,departure,departure95,departure95_day,0.0,-2.0,3.0,-3.0,4.0,0.162,0.185,0.653,False,False,False,False,3.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,departure,departure95,departure95_day,0.0,-3.0,0.0,-3.0,0.0,0.005,0.282,0.713,False,False,False,False,3.0,3.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,departure,departure95,departure95_day,4.0,0.0,7.0,0.0,8.0,0.946,0.012,0.042,False,False,False,False,7.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,departure,departure95,departure95_day,0.0,-3.0,1.0,-3.0,1.0,0.053,0.269,0.678,False,False,False,False,3.0,3.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,departure,departure95,departure95_day,0.0,-4.0,0.0,-4.0,0.0,0.005,0.236,0.759,False,False,False,False,4.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,departure,departure95,departure95_day,4.0,0.0,8.0,0.0,8.0,0.942,0.021,0.037,False,False,False,False,8.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,departure,departure95,departure95_day,0.0,-4.0,1.0,-4.0,1.0,0.071,0.23,0.699,False,False,False,False,4.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,departure,departure95,departure95_day,5.0,2.0,8.0,1.0,8.0,0.984,0.002,0.014,True,True,False,False,8.0,8.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,departure,departure95,departure95_day,0.0,0.0,1.0,0.0,1.0,0.078,0.004,0.918,False,False,False,False,1.0,1.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,departure,departure95,departure95_day,-4.0,-8.0,-1.0,-8.0,0.0,0.018,0.967,0.015,False,False,True,False,8.0,8.0,B_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t10,t10_day,1.0,-2.0,5.0,-2.0,5.0,0.625,0.156,0.219,False,False,False,False,5.0,5.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t10,t10_day,-2.0,-5.0,1.0,-6.0,1.0,0.101,0.757,0.142,False,False,False,False,5.0,6.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t10,t10_day,4.0,-9.0,8.0,-10.0,9.0,0.799,0.187,0.014,False,False,False,False,9.0,10.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t10,t10_day,0.0,-4.0,3.0,-4.0,4.0,0.354,0.435,0.211,False,False,False,False,4.0,4.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
