window_id,target_name,object_A,object_B,permutation_level,mode_stability_status,extreme_year_dominated_flag,tercile_high_order_level,tercile_low_order_level,tercile_high_low_reversal_flag,best_quantile_scheme,best_high_order_level,best_low_order_level,best_high_dominant_probability,best_low_dominant_probability,best_high_low_reversal_flag,gradient_status,delta_gradient_slope,A_earlier_gradient_slope,B_earlier_gradient_slope,evidence_v1_level,evidence_v2_level,pattern_type,recommended_interpretation,interpretation_boundary,specificity_status,specificity_own_abs_rank,specificity_own_minus_max_other,cross_target_specificity_level,signflip_level,signflip_percentile,dominant_object,dominant_object_fraction,dominant_time_half,pattern_interpretability_status,evidence_v3_level,recommended_interpretation_v3,target_pair,unordered_pair,target_set,was_in_original_v9_1_f,result_scope_note
W045,W045_P_vs_V_delta_peak,P,V,strict_99,stable,False,weak_or_none,weak_or_none,True,decile,usable_90,weak_or_none,0.91,0.51,True,clear_continuous_gradient,0.7,0.162,-0.1045,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0807058070682726,not_specific,direction_specific_99,1.0,P,0.2462354533582492,early,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,P-V,P-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_H_delta_peak,P,H,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,usable_90,0.53,0.91,True,clear_continuous_gradient,1.65,0.077,-0.0809999999999999,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,1,0.0277436624525694,not_specific,direction_specific_99,1.0,P,0.2275987707586936,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,P-H,H-P,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_Je_delta_peak,P,Je,strict_99,stable,False,usable_90,weak_or_none,False,decile,credible_95,weak_or_none,0.97,0.39,True,clear_continuous_gradient,1.0,0.1399999999999999,-0.0645,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0655543737151779,not_specific,direction_specific_99,1.0,Jw,0.2157030080496926,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,P-Je,Je-P,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_Jw_delta_peak,P,Jw,strict_99,stable,False,weak_or_none,weak_or_none,True,decile,weak_or_none,credible_95,0.84,0.98,True,clear_continuous_gradient,1.8,0.2009999999999999,-0.2114999999999999,weak_bootstrap_coupling_hint,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0896033470470338,specific_99,direction_specific_99,1.0,H,0.2140525836486676,late,interpretable_summary_available,robust_pair_specific_reversal,specific bootstrap-composite mode with robust high/low order reversal; still not a physical year type,P-Jw,Jw-P,original_priority,True,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_H_delta_peak,V,H,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,usable_90,0.49,0.91,True,clear_continuous_gradient,1.8,0.077,-0.0845,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,1,0.0471981059389219,not_specific,direction_specific_99,1.0,V,0.2108344977449471,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,V-H,H-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_Je_delta_peak,V,Je,strict_99,stable,False,usable_90,weak_or_none,True,decile,credible_95,weak_or_none,0.96,0.69,True,clear_continuous_gradient,1.0,0.182,-0.1325,moderate_bootstrap_coupling_candidate,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.1507691236271583,not_specific,direction_specific_99,1.0,V,0.2122072537878262,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,V-Je,Je-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_Jw_delta_peak,V,Jw,strict_99,stable,False,weak_or_none,usable_90,True,decile,weak_or_none,strict_99,0.79,0.99,True,clear_continuous_gradient,1.75,0.177,-0.192,moderate_bootstrap_coupling_candidate,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,2,-0.0228045094267956,not_specific,direction_specific_99,1.0,V,0.2106505886859005,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,V-Jw,Jw-V,original_priority,True,all-pair extension result; original priority targets are marked separately
W045,W045_H_vs_Je_delta_peak,H,Je,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,usable_90,weak_or_none,0.94,0.51,True,clear_continuous_gradient,2.3,0.1005,-0.0875,not_supported,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,pair_specific,1,0.0570656051214246,not_specific,direction_specific_99,1.0,Jw,0.2305598407914904,early,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,H-Je,H-Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_H_vs_Jw_delta_peak,H,Jw,strict_99,stable,False,weak_or_none,weak_or_none,False,decile,weak_or_none,weak_or_none,0.83,0.57,True,clear_continuous_gradient,1.6,0.0719999999999999,-0.073,not_supported,continuous_gradient_candidate,continuous_score_gradient,score bins show a continuous gradient in peak-time contrast/order probability,refined bootstrap-space coupling diagnostic; not a physical year-type claim,not_specific,4,-0.14876744863753,not_specific,direction_specific_99,1.0,Jw,0.238609925854193,early,interpretable_summary_available,robust_continuous_gradient,mode robustly provides continuous peak-time/order gradient without categorical reversal,H-Jw,H-Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,strict_99,stable,False,weak_or_none,credible_95,True,decile,weak_or_none,strict_99,0.76,1.0,True,clear_continuous_gradient,1.8,0.15,-0.1844999999999999,moderate_bootstrap_coupling_candidate,moderate_reversal_candidate,high_low_reversal,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,common_mode,1,0.0402927294881669,not_specific,direction_specific_99,1.0,H,0.2436890846066622,late,interpretable_summary_available,robust_common_mode_reversal,common bootstrap-composite mode modulates multiple targets and shows order reversal,Je-Jw,Je-Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
