old_path,file_name,branch,version_or_topic,log_type,inferred_task,current_handling,absorbed_into_root_log,delete_safety,notes
ROOT_PROJECT_LOG_20260427*.md,ROOT_PROJECT_LOG_20260427*.md,root,project root logs,root_project_log,historical root project state,absorbed_current_state / historical_reference_only,ROOT_LOG_01; ROOT_LOG_02; ROOT_LOG_04,safe_to_delete_after_review,旧根日志信息已由本轮根目录日志体系重组；删除前建议人工保留备份
CURRENT_ENGINEERING_MANIFEST_*.md,CURRENT_ENGINEERING_MANIFEST_*.md,root,engineering manifests,root_manifest,engineering state / patch scope,absorbed_engineering_inventory,ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,工程入口与分支状态已抽取为根目录索引；具体文件细节如仍需可自行备份
PATCH_README_*.md,PATCH_README_*.md,root,patch readmes,patch_readme,patch description / run command,absorbed_execution_chain,ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,补丁说明不再作为主接管日志
PATCH_FILE_LIST_*.txt,PATCH_FILE_LIST_*.txt,root,patch file lists,patch_file_list,patch file inventory,absorbed_engineering_inventory,ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,若需完整补丁清单，可自行备份；根日志只保留高价值入口与状态
PATCH_MANIFEST_*.md,PATCH_MANIFEST_*.md,root,patch manifests,patch_manifest,patch status / hotfix state,absorbed_execution_chain,ROOT_LOG_03; ROOT_LOG_04,safe_to_delete_after_review,失败/修复链已进入失败日志和版本状态日志
stage_partition/V7/UPDATE_LOG_V7*.md,UPDATE_LOG_V7*.md,stage_partition/V7,V7 timing diagnostics,update_log,V7 accepted-window diagnostics and hotfix history,absorbed_execution_chain / historical_reference_only,ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,V7 角色、入口、边界已记录；不逐字保留大量 hotfix 日志
stage_partition/V7/logs/**,logs/**,stage_partition/V7,V7 runtime/audit logs,runtime_log,runtime/audit traces,historical_reference_only,ROOT_LOG_02; ROOT_LOG_03,keep_until_manual_check,若包含唯一运行痕迹，建议删除前人工确认 outputs/run_meta 是否已保留
stage_partition/V7/README.md,README.md,stage_partition/V7,V7 README,readme,version role and entrypoint,not_a_log_do_not_delete,ROOT_LOG_02; ROOT_LOG_03,do_not_delete,README 是使用说明与结构边界，不建议作为旧日志删除
stage_partition/V7/STRUCTURE_MANIFEST.txt,STRUCTURE_MANIFEST.txt,stage_partition/V7,V7 structure,structure_manifest,structure manifest,not_a_log_do_not_delete,ROOT_LOG_02,do_not_delete,结构说明不建议删除
stage_partition/V10/UPDATE_LOG_V10*.md,UPDATE_LOG_V10*.md,stage_partition/V10,V10 main reproduce,update_log,V10 main/hotfix history,absorbed_execution_chain,ROOT_LOG_02; ROOT_LOG_03; ROOT_LOG_04,safe_to_delete_after_review,V10 主工程角色与状态已吸收
stage_partition/V10/V10_METHOD_LAYER_BASELINE_SUMMARY_LOG_20260512.md,V10_METHOD_LAYER_BASELINE_SUMMARY_LOG_20260512.md,stage_partition/V10,V10 method baseline,summary_log,method-layer baseline summary,absorbed_current_state,ROOT_LOG_01; ROOT_LOG_03,safe_to_delete_after_review,注意其内容可能已被 V10.5 后续解释层修正超越
stage_partition/V10/v10.1/UPDATE_LOG.md,UPDATE_LOG.md,stage_partition/V10/v10.1,joint main-window reproduce,update_log,V10.1 joint lineage,absorbed_execution_chain,ROOT_LOG_01; ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,V10.1 角色与边界已吸收
stage_partition/V10/v10.2/UPDATE_LOG.md,UPDATE_LOG.md,stage_partition/V10/v10.2,object-native peak discovery,update_log,V10.2 object-native catalog,absorbed_execution_chain,ROOT_LOG_01; ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,V10.2 角色与边界已吸收
stage_partition/V10/v10.3/UPDATE_LOG.md,UPDATE_LOG.md,stage_partition/V10/v10.3,peak discovery sensitivity,update_log,V10.3 sensitivity,absorbed_execution_chain,ROOT_LOG_01; ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,注意不要误写成对象间 order 审计
stage_partition/V10/v10.4/UPDATE_LOG.md,UPDATE_LOG.md,stage_partition/V10/v10.4,object-order sensitivity,update_log,V10.4 order sensitivity,absorbed_execution_chain,ROOT_LOG_01; ROOT_LOG_02; ROOT_LOG_03,safe_to_delete_after_review,V10.4 是对象间 order 审计
stage_partition/V10/v10.5/UPDATE_LOG*.md,UPDATE_LOG*.md,stage_partition/V10/v10.5,profile-energy validation,update_log,V10.5 validation / strength-stability / curve export,absorbed_current_state / absorbed_failure_record,ROOT_LOG_01; ROOT_LOG_02; ROOT_LOG_03; ROOT_LOG_04; ROOT_LOG_05,safe_to_delete_after_review,V10.5 最新解释层修正已进入根日志
stage_partition/V10/v10.5/README*.md,README*.md,stage_partition/V10/v10.5,V10.5 README,readme,scope / entry / outputs,not_a_log_do_not_delete,ROOT_LOG_02; ROOT_LOG_03,do_not_delete,README 是使用说明，不建议删除
stage_partition/V10/v10.5/logs/**,logs/**,stage_partition/V10/v10.5,V10.5 runtime logs,runtime_log,runtime/audit traces,historical_reference_only,ROOT_LOG_03,keep_until_manual_check,若为唯一运行痕迹，删除前人工确认 outputs/run_meta 已保留
lead_lag_screen/**/UPDATE_LOG*.md,UPDATE_LOG*.md,lead_lag_screen,lead-lag versions,update_log,lead-lag / PCMCI / runtime / sensitivity history,absorbed_failure_record / historical_reference_only,ROOT_LOG_03; ROOT_LOG_04,safe_to_delete_after_review,保留 T3/T4、surrogate null、PCMCI 等负结果与限制
lead_lag_screen/**/README*.md,README*.md,lead_lag_screen,lead-lag README,readme,version usage and scope,not_a_log_do_not_delete,ROOT_LOG_02; ROOT_LOG_03,do_not_delete,README 不建议删除
foundation/V1/DEPENDENCY_MANIFEST.json,DEPENDENCY_MANIFEST.json,foundation/V1,dependencies,manifest_json,dependency evidence,not_a_log_do_not_delete,ROOT_LOG_02,do_not_delete,依赖清单不是日志
foundation/V1/VERSION_POLICY.md,VERSION_POLICY.md,foundation/V1,version policy,version_policy,version governance,not_a_log_do_not_delete,ROOT_LOG_00; ROOT_LOG_02,do_not_delete,版本制度不建议删除
outputs/**/*.csv,*.csv,all,outputs,result_table,result outputs,not_a_log_do_not_delete,not absorbed,do_not_delete,输出表是结果证据，不建议作为日志删除
outputs/**/*.json,*.json,all,outputs,result_metadata,result metadata,not_a_log_do_not_delete,not absorbed,do_not_delete,输出元数据不建议作为日志删除
outputs/**/*.npz,*.npz,all,outputs,data_output,binary result/data output,not_a_log_do_not_delete,not absorbed,do_not_delete,数据输出不建议删除
